phase_index,target_tip_x,target_tip_y,target_tip_z,generated_tip_x,generated_tip_y,generated_tip_z,target_wrist_x,target_wrist_y,target_wrist_z,generated_wrist_x,generated_wrist_y,generated_wrist_z
11,-357.5235652379961,-313.00484865807607,65.84542990955515,-420.81132866893313,-314.1985065971268,70.95949706608171,-162.98545230220364,114.96754535039624,120.83974780687413,-204.18235177880302,61.65317271965097,97.90990264774618
12,-357.5299655128724,-313.16578354115063,103.65789469286335,-415.0574772844057,-311.8697146643619,107.47594492479479,-157.71025208490963,115.53405050702013,129.5939086090979,-199.7139685956214,64.91079164895791,108.22064604177095
13,-357.1933622413563,-311.6356972807371,141.54434300718552,-408.1642512211841,-308.55451015363775,143.77217389632196,-152.4151785637216,115.735458337724,137.87863691827704,-194.95870958971258,68.17829734955032,118.26963417355668
14,-356.51197626800615,-308.34394790985067,179.42356469156397,-399.5184331159465,-303.6560571593786,179.5970997946658,-147.1569417104063,115.56228939798515,145.66851242195713,-189.7916750143705,71.4190682270025,127.8419970609983
15,-355.48795893209075,-303.1737831953251,217.201106874414,-389.6567689747254,-297.5070720285494,214.9688415738247,-142.0012174818082,114.99584869242933,152.92392585166482,-184.36689162817444,74.59372662283995,136.99884751603534
16,-354.1386622241787,-295.998943899063,254.76219052597057,-378.7911159782357,-290.179785030065,249.89845024931216,-137.02616300324638,114.01635637738629,159.60064804917917,-178.74268401107392,77.68036830580677,145.75302053077934
17,-352.50168822349013,-286.68600142406757,291.96754899558556,-366.97712351905136,-281.51558529818305,284.3195373160236,-132.32421955861446,112.60351620714063,165.6498781560299,-172.947034597464,80.63509263336431,154.03952756241935
18,-350.64084545011946,-275.0976239201131,328.64883889781606,-354.4131752633606,-271.2700375952022,318.1731325293401,-128.00369835784454,110.7372243112483,171.01837183505725,-167.04248003107352,83.3804500101325,161.76679081488794
19,-348.6529356646915,-261.0969920130418,364.60346104751113,-341.6085143513475,-259.13592103962867,351.47893854604985,-124.19000747533184,108.398439884344,175.64862704368818,-161.1515622969578,85.79547925931291,168.82975611612142
20,-346.6802528217622,-244.47812512879938,399.55337972201716,-329.2987770187284,-245.00198941743486,384.3740584203794,-121.04906397344837,105.55594375244252,179.45459457182253,-155.4259642880998,87.77930340411676,175.19070131573062
21,-344.9274206042659,-225.11711181745306,433.1805551723606,-318.74549078594515,-228.184556408635,416.8747368868796,-118.75600757975042,102.19554196447369,182.36529953641596,-150.13666204747258,89.08032153211408,180.58164711208082
22,-343.682191356533,-202.85168041465,465.0515300123602,-312.00668243131554,-207.9339713373093,448.71228799877105,-117.53323712819338,98.29665925571217,184.28098459627853,-145.72773918210237,89.38439189245537,184.6117590852111
23,-343.34453070466844,-177.56711867080713,494.599990408143,-311.0103733506307,-184.00535227918192,478.88532447162663,-117.63930368473191,93.84833568095522,185.08955101511276,-142.64100797557208,88.53669244311192,186.94439609203963
24,-344.45627818223,-149.24510945991307,521.0753203820786,-316.6696986319938,-156.6440999658442,505.6088065434198,-119.36530018561444,88.85705793446729,184.66533661101965,-141.13402443663023,86.6355977600817,187.42286140088294
