evaluation,PC1,PC2
314743,2.3486984370893254,-0.3582902224417419
314749,2.345769425313987,-0.3596923637551759
314793,2.1286585484764133,-0.1652431063879492
314797,2.1280966729329243,-0.16417664543747096
314799,2.1301445524703584,-0.16437720806375766
314805,2.1272155406950204,-0.1657793493771917
314849,1.9979247098691197,-0.0652665064250825
314852,1.9985912422814671,-0.06728848014325754
314853,1.9973628343256302,-0.06420004547460542
314865,1.9955385962980667,-0.06226786784502049
314906,1.9912100479686607,-0.04411231757963728
314909,1.9918765803810086,-0.04613429129781111
314910,1.9906481724251712,-0.043045856629158996
314963,1.94814094205754,-0.004323708369131239
314964,1.9677291696502663,-0.02162046231776235
314966,1.9661157177236237,-0.02493090890353386
315021,1.9444893734856845,0.01579725232109806
315023,1.9428759215590419,0.01248680573532656
315030,1.9447566028619767,0.013007099120270642
315077,1.7688656279398094,0.015562733295846577
315078,1.7688656279398094,0.015562733295848936
315079,1.7668350346923167,0.008693153038855332
315081,1.7683037523963197,0.016629194246324835
315083,1.7703516319337544,0.01642863162003806
315091,1.768671194915202,0.014329148250648445
315134,1.7395799862060701,0.026231918563237408
315136,1.7375493929585775,0.01936233830624616
315140,1.741065990200015,0.027097816887428766
315154,1.7389224970830264,0.024690028630321992
315191,1.7151898995252204,0.023500547851175873
315192,1.7151898995252204,0.023500547851178246
315196,1.7167246024678942,0.023983684533269708
315197,1.7166759035191652,0.02436644617536726
315203,1.7137468917438272,0.022964304861933387
315207,1.7127161707385092,0.02672699391761332
315210,1.7143100586065398,0.023872171902089217
315211,1.7145324104021764,0.021958657918260304
315240,1.7161928960787374,0.02769812678039472
315247,1.7327718169849349,0.0034946168795680814
315248,1.7327718169849353,0.0034946168795669435
315251,1.7322099414414458,0.004561077830045221
315303,1.5949055578599898,0.10928858540813412
315305,1.593292105933347,0.10597813882236261
315359,1.4554903620311095,0.2075985853853898
315361,1.453804036059675,0.20366636278844177
315388,1.4577250965637096,0.20997917225432586
315416,1.4247324233527712,0.20120168779830389
315420,1.4241705478092819,0.20226814874878207
315472,1.3032787533426264,0.20080361986401546
315476,1.3027168777991371,0.20187008081449376
315478,1.3047647573365717,0.201669518188207
315482,1.3013826048151929,0.2012525558179848
315484,1.3018357455612333,0.20026737687477297
315528,1.1224794349077731,0.22849889720987224
315529,1.2057248391139295,0.21716833412459316
315534,1.2069758616647233,0.21767143021738958
315535,1.207210843107875,0.21803423244878498
315541,1.2042818313325363,0.21663209113535067
315542,1.2067575966117514,0.21651639583872415
315572,1.2054112248330195,0.21543414122468188
315585,0.9590154396148334,0.36669514563972194
315587,0.9569848463673407,0.3598255653827296
315588,0.9596819720271812,0.3646731719215469
315591,0.9605014436087782,0.3675610439639134
315598,0.9600481971126547,0.3660432073538533
315628,0.9587018253339232,0.36496095273981066
315642,0.9333767043070006,0.39825036566061783
315644,0.9313461110595079,0.3913807854036254
315648,0.9348627083009456,0.39911626398480926
315660,0.9330501206019753,0.3987499442285937
315661,0.9324968633883198,0.3986219897115312
315685,0.9330630900260907,0.3965161727607068
315698,0.9251981617923721,0.37168475925080957
315700,0.9231675685448795,0.36481517899381843
315701,0.92586469420472,0.3696627855326357
315704,0.9266841657863172,0.3725506575750011
315716,0.9248715780873471,0.37218433781878546
315717,0.9243183208736914,0.3720563833017229
315741,0.9248845475114622,0.3699505663508983
315755,0.9187339158165512,0.3409076199759593
315759,0.9181720402730614,0.34197408092643644
315761,0.9202199198104969,0.3417735183001511
315769,0.9185394827919436,0.33967403493076004
315811,0.7666804312136017,0.3912676942358103
315815,0.7661038348309404,0.39220855402489563
315817,0.7681664352075468,0.39213359256000185
315823,0.7652374234322086,0.39073145124656783
315831,0.7660229420905578,0.3897258043028946
315856,0.7656521910148297,0.38898121649609013
315863,0.765888671472428,0.3899768536506895
315867,0.6733004416915519,0.5000299121178012
315871,0.6727385661480622,0.5010963730682771
315879,0.6718574339101586,0.49949366912855875
315923,0.5585165399865052,0.5960792754058923
315924,0.5585165399865053,0.5960792754058947
315929,0.5600025439804501,0.5969451737300837
315935,0.5570735322051119,0.5955430324166499
315936,0.5595492974843265,0.5954273371200237
315966,0.5582029257055952,0.5943450825059811
315979,0.39490842517886193,0.7422707769804638
315983,0.3943465496353725,0.7433372379309409
315985,0.39639442917280754,0.7431366753046557
315992,0.3959411826766833,0.7416188386945952
316022,0.3945948108979519,0.7405365840805528
316049,0.369178517273536,0.7495562843976578
316079,0.36783214549480414,0.7484740297836157
316158,0.3905658300721574,0.6916742155130555
316159,0.37376603281506193,0.7306471424732669
316163,0.37320415727157175,0.731713603423745
316171,0.37232302503366876,0.7301108994840244
316172,0.3747987903128832,0.7299952041873983
316280,0.4287478990182717,0.5108897980639959
316284,0.42817130263561076,0.5118306578530801
316309,0.4309826335508721,0.513270384932932
316367,0.42570155577292806,0.5212259780256245
316394,0.2523967587163134,0.7988041747656376
316398,0.2518348831728239,0.7998706357161158
316406,0.25095375093492023,0.7982679317763951
316451,0.24668649748175314,0.7696234782408792
316455,0.24612462193826362,0.7706899391913575
316463,0.24524348970035986,0.7690872352516367
316508,0.230585414296794,0.7509845943075047
316514,0.23207141829073905,0.7518504926316962
