round,evaluation_at_round_end,parent_region_id,child_left,child_right,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,parent_volume_log10
29,2030458,339,351,352,L12,0.2398184065347315,15.791828294062917,3356.5478264553763,154,-4.965846768462557
29,2030458,341,353,354,L5,0.42649295162593265,202.35830839022384,2556.1305523996893,5095,-6.516276885246059
29,2030458,343,355,356,L12,0.23162045458128025,15.42292045615761,3422.656013180804,124,-4.8697015263128165
29,2030458,345,357,358,L12,0.24458320578751874,16.006244260438343,3219.4668778535915,167,-5.36642448589155
30,2117214,353,359,360,L11,0.27934070320715737,35.14066328864416,3449.176903338007,137,-7.5403236209279925
30,2117214,354,361,362,L11,0.2790361234085293,35.113251106767635,3449.176903338007,208,-6.559442886985675
30,2117214,357,363,364,L3_C1c,0.47497826383095254,-2.7523909785952227,3111.647065870379,7002,-6.275825712973974
30,2117214,355,365,366,L3_C1c,0.4759704098231381,-2.6432549194548116,3354.3206777701575,6511,-5.832063349490882
30,2117214,347,367,368,L7,0.40905690867819033,240.90569086781903,6106.029008531119,3922,-4.908649278931723
30,2117214,156,369,370,theta18_deg,0.6101313417366103,103.21576100839324,2896.4654501481223,3818,-4.893652800726349
30,2117214,154,371,372,L3_C1c,0.4710502386838019,-3.1844737447817906,2839.0466001790146,5247,-4.542446212404542
31,2222494,364,373,374,theta18_deg,0.6079556490945822,102.95467789134986,3087.7232420028245,4781,-6.555648429181609
31,2222494,363,375,376,theta18_deg,0.6074705952502465,102.89647143002958,3423.278678334152,4792,-6.599151977273882
31,2222494,367,377,378,theta18_deg,0.6062832728899274,102.7539927467913,2503.128332653606,3746,-4.9446595594784934
31,2222494,370,379,380,L12,0.1454458241034732,11.545062084656294,2807.249189636403,3825,-5.302734477285908
31,2222494,371,381,382,L7,0.4089682170282214,240.89682170282214,6170.0775718193845,3397,-4.869378984214882
31,2222494,368,383,384,theta18_deg,0.6065314370139352,102.78377244167223,2698.6745310228957,3543,-6.007887822151768
31,2222494,369,385,386,L12,0.14532467887485975,11.539610549368689,2754.613103770614,3900,-5.108229465959084
32,2296565,378,387,388,L12,0.14145698875090168,11.365564493790576,2523.879336479766,3969,-5.349475693234659
32,2296565,385,389,390,theta18_deg,0.5099731617290134,91.19677940748161,2854.5587384773594,92,-5.945890093993693
32,2296565,379,391,392,L5,0.426684195217846,202.40420685228304,2763.2372563685412,4096,-6.140033220557097
32,2296565,381,393,394,theta18_deg,0.6079748956385325,102.9569874766239,2430.329918512598,3135,-4.905483438627744
32,2296565,384,395,396,L12,0.14108863003982952,11.348988351792329,2369.920724292704,3092,-6.4129777829587935
33,2404785,387,397,398,L11,0.3666187414405013,42.995686729645115,4004.3639657376434,15,-6.198851284382805
33,2404785,390,399,400,L5,0.4279633725598849,202.71120941437238,2521.445936305613,5690,-6.730627004466479
33,2404785,391,401,402,L6,0.4355919827387686,243.55919827387686,3272.995343720233,170,-7.162696322393535
33,2404785,392,403,404,L6,0.4386025100760469,243.8602510076047,3272.995343720233,118,-6.1833440677490135
33,2404785,388,405,406,B_Z_C1c,0.4977228454338119,-0.8197756438277111,1990.5549446096202,3840,-5.41571363592732
33,2404785,394,407,408,L12,0.14283927226306245,11.42776725183781,2953.6726785920882,2843,-5.312169559524229
34,2480859,399,409,410,L2,0.4235265270472712,153.9990191960722,4055.0787483220693,65,-7.744146998598872
34,2480859,400,411,412,L6,0.4386025100760469,243.8602510076047,3233.076616424645,131,-6.774907928424946
34,2480859,402,413,414,L3_C1c,0.47264341448379027,-3.009224406783069,3334.267564846462,6796,-8.250123322394344
34,2480859,404,415,416,L3_C1c,0.47264341448379027,-3.009224406783069,3239.5246103883424,5725,-7.305858615790529
34,2480859,408,417,418,L12,0.24356448061811603,15.960401627815221,3031.7387817806457,29,-5.3791072946321
34,2480859,407,419,420,B_Y_C0,0.7920154907738426,36.32325306250695,1653.956002813332,2505,-6.15732193063959
35,2598666,395,421,422,L11,0.36387851354680606,42.749066219212544,2789.6775390346215,11,-7.263485766439901
35,2598666,396,423,424,L12,0.2476254879887738,16.14314695949482,2388.2088508907427,83,-6.47902943114514
35,2598666,393,425,426,L12,0.14323054199365529,11.445374389714488,2420.3640283680656,2970,-5.121597791774004
35,2598666,382,427,428,L12,0.14291807480932756,11.43131336641974,2336.6509942092066,3119,-5.96752968113319
35,2598666,383,429,430,L12,0.1411615809606517,11.352271143229327,2331.2425496762817,3402,-6.225034506532272
35,2598666,377,431,432,L12,0.14266800595791862,11.420060268106338,2184.7800911080917,3728,-5.161983973087192
36,2708750,425,433,434,L11,0.3909217133348401,45.18295420013561,2342.809981689703,4,-5.965562156448803
36,2708750,426,435,436,L12,0.2226838243858086,15.020772097361387,2403.955322895667,163,-5.188733815341111
36,2708750,429,437,438,L11,0.36770891863948313,43.093802677553484,2792.328412448045,58,-7.075317992869827
36,2708750,427,439,440,theta18_deg,0.6079916469680717,102.9589976361686,2345.3085441499647,2615,-6.8124425237659345
36,2708750,431,441,442,L11,0.36812953380523733,43.13165804247136,2861.878703341088,29,-6.007657381849265
36,2708750,428,443,444,theta18_deg,0.6054338175576959,102.6520581069235,2524.4877508194863,2769,-6.0345073446735595
36,2708750,430,445,446,L11,0.3744593130435705,43.70133817392134,3654.7057351127173,158,-6.291123042724758
37,2808945,440,447,448,L11,0.401123315722973,46.10109841506757,2700.6303996535694,1,-7.2191472025693955
37,2808945,439,449,450,L61,0.33357787450318277,150.0366811754774,1677.9419734040036,2957,-7.028544911106017
37,2808945,444,451,452,L12,0.263982999418306,16.87923497382377,2255.2131356769783,216,-6.438387484761111
37,2808945,443,453,454,B_Z_C1c,0.4997870965027304,-0.07664525901705588,2071.05643373,2768,-6.252440669102702
37,2808945,372,455,456,L7,0.4093631523314417,240.93631523314417,5954.368998987445,3577,-4.819031786908591
37,2808945,155,457,458,theta18_deg,0.6097415059406821,103.16898071288185,2942.511260747738,4745,-3.8186635738857992
37,2808945,380,459,460,L12,0.25178831442442845,16.33047414909928,2596.522629258708,213,-5.370994876528638
38,2896146,455,461,462,L12,0.14162283758315822,11.37302769124212,2285.336018750422,3015,-4.854717051143401
38,2896146,457,463,464,L12,0.14631783158038517,11.584302421117332,2672.9839008011304,4231,-4.033517814836538
38,2896146,458,465,466,L12,0.1457339156499575,11.558026204248087,2672.9839008011304,3636,-4.227311209536494
38,2896146,459,467,468,L6,0.4366519098436388,243.66519098436387,3234.744204985411,221,-6.276027650911047
38,2896146,456,469,470,theta18_deg,0.6080843441267568,102.97012129521082,2762.369878850609,2974,-5.922047645340494
38,2896146,386,471,472,L12,0.24474464948315142,16.013509226741814,2457.552938795606,272,-5.17642830213556
39,3000168,463,473,474,theta18_deg,0.5318112500242227,93.81735000290672,2718.0807470760465,66,-4.8682205585331
39,3000168,464,475,476,L12,0.3108481415838791,18.98816637127456,2695.2249531883135,177,-4.102221604795729
39,3000168,466,477,478,L12,0.321061398404734,19.44776292821303,2616.8367554036254,93,-4.295718044976192
39,3000168,461,479,480,theta18_deg,0.6058595392593167,102.703144711118,2651.670377198005,2425,-5.703583759395489
39,3000168,468,481,482,L5,0.426530903783191,202.36741690796583,2489.0484912736933,7819,-7.375487355113117
40,3081496,474,483,484,L6,0.43446745322708524,243.44674532270852,4347.944553873776,127,-5.761660215153987
40,3081496,471,485,486,L3_C1c,0.4724962930421942,-3.0254077653586364,3135.4448473830994,8262,-6.1107558355473595
40,3081496,475,487,488,L5,0.4262571380610505,202.30171313465212,2513.497565327571,5129,-4.8172718988442025
40,3081496,477,489,490,L5,0.4262571380610505,202.30171313465212,2513.497565327571,4322,-4.983461212020915
40,3081496,480,491,492,L8_C1c,0.3524318383084389,-16.232497786071725,1800.320535134728,2353,-6.107932739464026
40,3081496,462,493,494,theta18_deg,0.6077149490670776,102.92579388804931,2893.349639675002,2810,-4.9210388966685965
40,3081496,469,495,496,L12,0.14420939917763048,11.489422962993372,2521.436505880118,2720,-6.138083823225119
