phase,round,split,parent_region_id,child_region_ids,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,reason
primary,7,True,71,"[89, 90]",L2,0.2751409754727542,103.54793166073642,1113.419382424507,69,
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,False,,[],,,,,,insufficient_new_samples
primary,8,True,75,"[91, 92]",B_Z_C1c,0.5380795510466561,13.708638376796188,379.4084822265031,4088,
primary,8,True,76,"[93, 94]",B_Z_C2c,0.48330609779873523,-2.671024352202366,302.46634887047435,3713,
primary,8,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,8,True,80,"[95, 96]",L2,0.3612490186424828,132.82466633844416,960.6202272650422,5,
primary,9,False,,[],,,,,,insufficient_new_samples
primary,9,False,,[],,,,,,insufficient_new_samples
primary,9,True,91,"[97, 98]",L7,0.7508801463451544,275.08801463451545,293.7065371925354,183,
primary,9,True,92,"[99, 100]",L2,0.36135441763011744,132.86050199423994,871.0547606004005,79,
primary,9,True,95,"[101, 102]",L7,0.862953741331728,286.2953741331728,330.3745843809484,5407,
primary,9,True,78,"[103, 104]",L3_C0,0.5827320380778731,269.7835337080343,1542.0316298441278,3563,
primary,9,False,,[],L2,,,,,no_interior_feasible_split_seed
primary,9,True,93,"[105, 106]",B_Z_C2c,0.45231773624421506,-7.629162200925592,242.92746601766768,9,
primary,9,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,9,True,82,"[107, 108]",B_Z_C2c,0.4791521832672198,-3.3356506772448284,529.646178884948,5421,
primary,9,True,83,"[109, 110]",B_Y_C1c,0.40638099382848125,-33.70284222174675,314.0407037066745,3101,
primary,9,True,77,"[111, 112]",L7,0.8639373871763598,286.393738717636,281.518836340219,3375,
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,False,,[],,,,,,insufficient_new_samples
primary,10,True,98,"[113, 114]",B_Z_C1c,0.4984186433143515,-0.5692884068334649,391.0008292752931,5,
primary,10,True,104,"[115, 116]",B_Z_C1c,0.5383831534018793,13.817935224676546,372.0671896424481,3748,
primary,10,True,103,"[117, 118]",L5,0.5095695969419576,222.2967032660698,457.6474704278009,3315,
primary,10,False,,[],L2,,,,,no_interior_feasible_split_seed
primary,10,True,99,"[119, 120]",L31,0.653073020746684,101.43022290453577,246.78268250906874,4870,
primary,10,False,,[],B_Z_C1s,,,,,no_interior_feasible_split_seed
primary,11,False,,[],,,,,,insufficient_new_samples
primary,11,False,,[],,,,,,insufficient_new_samples
primary,11,True,117,"[121, 122]",L7,0.8615695253378448,286.1569525337845,318.9199769912773,3043,
primary,11,True,115,"[123, 124]",L2,0.36228288175786993,133.1761797976758,817.5552047937355,47,
primary,11,True,116,"[125, 126]",L7,0.8640294020163776,286.40294020163776,327.1277473735044,3905,
primary,11,True,114,"[127, 128]",B_Z_C2c,0.49460722419451775,-0.8628441288771569,241.51554406543858,8053,
primary,11,True,118,"[129, 130]",B_Y_C1c,0.4072429360976623,-33.39254300484157,435.69019704649077,2547,
primary,11,True,120,"[131, 132]",L7,0.7395851458023912,273.9585145802391,330.4189078847791,256,
primary,11,True,101,"[133, 134]",L7,0.7730361940527689,277.3036194052769,414.06502261567056,752,
primary,11,True,119,"[135, 136]",L3_C0,0.5844694828306548,270.40901381903575,466.59171461492934,4200,
primary,11,True,79,"[137, 138]",B_Z_C2c,0.48429364470513514,-2.5130168471783776,689.3827181344712,4802,
primary,11,True,102,"[139, 140]",B_Z_C2c,0.47946137894587393,-3.2861793686601715,343.6747536265703,4134,
