phase,evaluation,round,region_id,score,tip_rmse_mm,wrist_rmse_mm,combined_rmse_mm,stage
confirmation,601002,8,71,93.73739304613188,92.36986051529128,94.43713884838382,93.40921883166375,slsqp
confirmation,601003,8,71,93.38459644178423,92.79209161976254,93.80669454795961,93.30077226150007,slsqp
confirmation,601004,8,71,93.28492883164895,93.27901141148652,93.290822697937,93.28491724164779,slsqp
confirmation,601020,8,71,93.26520375714489,92.60772722875784,93.71881461341196,93.1649272929977,slsqp
confirmation,601056,8,71,93.0832526086842,92.75675736131802,93.3504885341311,93.0540964862573,slsqp
confirmation,601057,8,71,93.05550217331573,93.2485244999359,92.83340677462137,93.04119715157759,slsqp
confirmation,601066,8,71,93.05145788664365,92.58660033136745,93.40447753392273,92.9964380616415,slsqp
confirmation,601068,8,71,93.03315859854439,92.64257624547695,93.34173067938215,92.99281052753841,slsqp
confirmation,601073,8,71,92.95209215323771,92.5540151215649,93.26525338831993,92.9103148329355,slsqp
confirmation,601109,8,71,92.85321999664403,92.68523599416133,93.00400113297512,92.84475536624515,slsqp
confirmation,601115,8,71,92.85162006275601,92.80346993964933,92.89824675660034,92.85087044096464,slsqp
confirmation,601119,8,71,92.8122782777948,92.5168401101301,93.05824561933726,92.78793774438647,slsqp
confirmation,601121,8,71,92.80882720982243,92.59266306221053,92.99729158168346,92.79519786734843,slsqp
confirmation,601126,8,71,92.75673290371351,92.57121277731534,92.9214698529079,92.74650665843933,slsqp
confirmation,601162,8,71,92.6767032278638,92.68147027263727,92.67192068498973,92.67669560181453,slsqp
confirmation,601172,8,71,92.62793765170322,92.52654072696706,92.7227905829169,92.62471763083155,slsqp
confirmation,601179,8,71,92.56921033641338,92.54648571676144,92.59158884876393,92.56904002975637,slsqp
confirmation,601215,8,71,92.53902287983334,92.70305984805466,92.35433558030942,92.5288619990336,slsqp
confirmation,601224,8,71,92.53324493842895,92.63919383392222,92.41905504950627,92.52918990903001,slsqp
